City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Torbay,CA,47.67,-52.73,64.0,82,75,16.11,broken clouds
230,Ibirama,BR,-27.06,-49.52,77.0,99,0,3.09,clear sky
231,Alofi,NU,-19.06,-169.92,60.8,93,97,1.12,overcast clouds
232,Sangar,RU,63.92,127.47,51.82,68,0,4.21,clear sky
233,Kahului,US,20.89,-156.47,80.6,61,40,12.75,scattered clouds
234,Imeni Poliny Osipenko,RU,52.42,136.49,51.94,92,100,9.95,overcast clouds
235,Manadhoo,MV,5.77,73.38,82.56,81,100,17.47,light rain
236,Bestobe,KZ,52.5,73.1,76.53,51,0,9.26,clear sky
237,Taksimo,RU,56.34,114.88,57.45,85,83,1.83,broken clouds
238,Cabo San Lucas,MX,22.89,-109.91,91.4,52,20,4.16,few clouds
239,Goderich,CA,43.75,-81.72,75.99,86,74,14.05,light rain
240,Hailun,CN,47.45,126.93,68.52,97,100,3.56,moderate rain
241,Perth,AU,-31.93,115.83,46.99,93,20,8.05,few clouds
242,Dukstas,LT,55.53,26.33,55.83,80,99,1.72,overcast clouds
243,Latacunga,EC,-0.93,-78.62,68.0,45,20,11.41,few clouds
244,Carahue,CL,-38.7,-73.17,57.2,82,20,3.36,few clouds
245,Sandakan,MY,5.84,118.12,80.6,88,20,3.29,few clouds
246,Agadez,NE,19.75,10.25,94.03,26,33,8.25,scattered clouds
247,Mahebourg,MU,-20.41,57.7,69.8,73,75,17.22,broken clouds
248,Santa Comba,ES,43.03,-8.81,68.0,3,100,1.01,overcast clouds
249,Gat,IL,31.61,34.76,82.0,59,0,1.01,clear sky
250,Allapalli,IN,19.42,80.07,81.16,85,100,0.87,moderate rain
251,Junqueiro,BR,-9.93,-36.48,73.31,85,37,9.64,light rain
252,Kodiak,US,57.79,-152.41,57.2,76,1,5.82,clear sky
253,Fernie,CA,49.5,-115.07,84.2,50,20,6.53,few clouds
254,Margate,GB,51.38,1.39,70.0,59,100,1.99,light rain
255,Palu,ID,-0.89,119.87,75.96,80,100,2.98,overcast clouds
256,Kaeo,NZ,-35.1,173.78,57.0,3,100,5.01,overcast clouds
257,Saint-Denis,FR,48.92,2.33,72.0,43,43,10.29,scattered clouds
258,Ahipara,NZ,-35.17,173.17,55.02,84,100,10.33,overcast clouds
259,Dikson,RU,73.51,80.55,52.56,83,82,8.25,broken clouds
260,Santa Adelia,BR,-21.24,-48.8,80.74,28,0,6.11,clear sky
261,El Alto,PE,-4.27,-81.21,69.08,69,23,16.71,few clouds
262,Revelstoke,CA,50.98,-118.2,68.0,82,1,3.36,clear sky
263,Lebu,CL,-37.62,-73.65,55.9,83,68,9.55,broken clouds
264,Zabol,AF,32.25,67.25,70.05,20,0,10.63,clear sky
265,Axim,GH,4.87,-2.24,74.14,78,0,8.21,clear sky
266,Tambura,SS,5.6,27.47,70.59,96,100,1.88,light rain
267,Livingston,GB,55.9,-3.52,62.01,62,20,9.17,few clouds
268,Vestmannaeyjar,IS,63.44,-20.27,51.8,87,75,20.8,broken clouds
269,Tignere,CM,7.37,12.65,65.52,98,100,1.1,moderate rain
270,Zyryanka,RU,65.75,150.85,54.48,66,25,5.44,scattered clouds
271,Trairi,BR,-3.28,-39.27,83.25,64,3,14.25,clear sky
272,Bambous Virieux,MU,-20.34,57.76,69.8,73,75,17.22,broken clouds
273,Rawlins,US,41.79,-107.24,80.6,22,1,4.7,clear sky
274,Tura,IN,25.52,90.22,79.09,81,100,1.43,overcast clouds
275,Paciran,ID,-6.88,112.38,75.43,80,57,7.76,broken clouds
276,Ilulissat,GL,69.22,-51.1,50.0,61,20,5.82,few clouds
277,Lata,PT,40.16,-8.33,71.01,65,1,5.99,clear sky
278,Chicama,PE,-7.84,-79.15,72.54,56,25,9.93,scattered clouds
279,Nechi,CO,8.09,-74.78,94.68,48,99,5.55,overcast clouds
280,Ayagoz,KZ,47.97,80.44,63.64,58,100,13.8,overcast clouds
281,Korla,CN,41.76,86.15,83.43,19,14,9.22,few clouds
282,Norman Wells,CA,65.28,-126.83,66.2,82,40,8.05,scattered clouds
283,Avera,US,33.19,-82.53,93.2,49,1,9.17,clear sky
284,Pleszew,PL,51.9,17.79,78.01,42,100,6.53,overcast clouds
285,Rochegda,RU,62.8,43.25,49.69,96,74,5.59,broken clouds
286,Yurgamysh,RU,55.37,64.47,72.73,59,0,11.72,clear sky
287,Mobaye,CF,4.32,21.18,72.9,93,100,2.46,light rain
288,Tautira,PF,-17.73,-149.15,80.6,69,75,9.17,broken clouds
289,Masakin,TN,35.73,10.58,89.6,46,0,9.17,clear sky
290,Bandarbeyla,SO,9.49,50.81,78.17,73,0,30.82,clear sky
291,La Ronge,CA,55.1,-105.28,77.0,47,20,9.17,few clouds
292,Ishigaki,JP,24.34,124.16,81.95,86,100,40.6,moderate rain
293,Chokurdakh,RU,70.63,147.92,49.03,68,100,4.56,overcast clouds
294,Luanda,AO,-8.84,13.23,73.4,78,96,4.7,overcast clouds
295,Victoria,HK,22.29,114.16,80.01,83,100,10.0,heavy intensity rain
296,Sao Miguel Do Iguacu,BR,-25.35,-54.24,84.2,39,0,8.05,clear sky
297,Salinas,US,36.68,-121.66,68.0,64,1,5.82,clear sky
298,Rockland,US,41.17,-74.05,90.0,77,66,9.4,light rain
299,Mirzapur,IN,25.15,82.58,84.2,83,40,4.36,haze
300,Raga,SS,8.46,25.68,71.51,90,100,2.53,overcast clouds
301,Paratinga,BR,-12.69,-43.18,89.33,21,0,7.0,clear sky
302,Lalibela,ET,12.03,39.03,59.85,87,100,1.39,light rain
303,Puro,PH,12.48,123.38,79.75,79,100,2.73,overcast clouds
304,Jasper,US,37.2,-94.35,82.99,58,40,10.29,scattered clouds
305,Qaqortoq,GL,60.72,-46.03,55.4,71,100,5.82,light intensity drizzle
306,Balsas,BR,-7.53,-46.04,96.37,23,25,7.34,scattered clouds
307,Belmonte,BR,-15.86,-38.88,77.0,61,40,6.93,scattered clouds
308,Luderitz,NA,-26.65,15.16,73.4,31,0,1.12,clear sky
309,Brae,GB,60.4,-1.35,55.4,87,20,12.75,few clouds
310,Ostrovnoy,RU,68.05,39.51,49.86,86,100,11.03,overcast clouds
311,Atbasar,KZ,51.8,68.33,71.85,55,0,7.0,clear sky
312,Namibe,AO,-15.2,12.15,66.02,88,0,1.3,clear sky
313,Itaituba,BR,-4.28,-55.98,95.0,32,20,5.82,few clouds
314,Bose,IT,45.46,8.01,75.0,68,100,1.01,moderate rain
315,Farkhor,TJ,37.49,69.4,78.8,44,20,2.24,few clouds
316,Vuktyl,RU,63.86,57.31,60.13,93,37,10.13,light rain
317,Nemuro,JP,43.32,145.57,63.01,94,1,10.69,clear sky
318,Tessalit,ML,20.2,1.01,103.87,15,2,7.31,clear sky
319,Male,MV,4.17,73.51,84.2,83,75,8.05,broken clouds
320,Bontang,ID,0.13,117.5,77.29,86,69,4.16,broken clouds
321,Mayumba,GA,-3.43,10.66,72.75,80,93,6.78,overcast clouds
322,Tuatapere,NZ,-46.13,167.68,44.55,89,81,3.15,broken clouds
323,Raesfeld,DE,51.77,6.85,69.01,52,0,1.99,clear sky
324,Virginia Beach,US,36.85,-75.98,93.99,52,75,14.99,broken clouds
325,Ust-Kut,RU,56.79,105.77,57.13,75,0,4.34,clear sky
326,Bratsk,RU,56.13,101.61,57.2,87,90,4.47,overcast clouds
327,Dukat,RU,62.55,155.55,46.89,71,1,2.73,clear sky
328,Manokwari,ID,-0.87,134.08,78.46,79,87,3.83,overcast clouds
329,Sao Joao Da Barra,BR,-21.64,-41.05,77.0,53,20,13.87,few clouds
330,Luxor,EG,25.7,32.64,96.8,28,0,3.36,clear sky
331,Bandundu,CD,-3.32,17.37,87.24,34,68,2.89,broken clouds
332,Klaksvik,FO,62.23,-6.59,50.0,100,100,13.87,light rain
333,Nome,US,64.5,-165.41,59.0,76,1,3.36,clear sky
334,Sorland,NO,67.67,12.69,59.0,82,100,8.05,overcast clouds
335,Namatanai,PG,-3.67,152.43,79.52,83,81,7.09,light rain
336,Wajir,KE,1.75,40.06,82.4,54,82,17.74,broken clouds
337,Erdenet,MN,49.03,104.08,56.21,74,100,4.07,overcast clouds
338,Zakupne,UA,49.12,26.34,63.0,62,43,2.01,scattered clouds
339,Rancho Palos Verdes,US,33.74,-118.39,79.0,73,40,4.7,scattered clouds
340,Sorong,ID,-0.88,131.25,77.79,92,100,11.9,moderate rain
341,Tommot,RU,58.96,126.29,51.44,80,100,3.74,overcast clouds
342,Meulaboh,ID,4.14,96.13,78.01,79,100,2.57,overcast clouds
343,Inuvik,CA,68.35,-133.72,51.8,93,90,3.36,shower rain
344,Makokou,GA,0.57,12.86,73.08,81,4,2.51,clear sky
345,Dingzhou,CN,38.51,115.0,80.6,88,75,2.24,broken clouds
346,Sinnar,SD,13.57,33.57,83.7,60,0,8.97,clear sky
347,Hualmay,PE,-11.1,-77.61,66.69,67,19,10.65,few clouds
348,Balakhta,RU,55.38,91.6,58.08,91,100,2.75,overcast clouds
349,Kuytun,RU,54.34,101.5,55.6,93,100,12.75,overcast clouds
350,Sheridan,US,44.83,-106.92,86.0,30,1,9.17,clear sky
351,Waipawa,NZ,-41.41,175.52,50.0,71,53,10.29,broken clouds
352,Nidda,DE,50.42,9.0,75.99,53,89,4.21,overcast clouds
353,Faanui,PF,-16.48,-151.75,78.46,80,91,13.15,overcast clouds
354,Nabire,ID,-3.37,135.48,74.91,90,95,4.41,overcast clouds
355,Cedar City,US,37.68,-113.06,95.0,6,1,16.11,clear sky
356,Halifax,CA,44.65,-63.57,84.0,42,75,4.7,broken clouds
357,Barreirinhas,BR,-2.75,-42.83,87.69,55,4,5.35,clear sky
358,Te Anau,NZ,-45.42,167.72,47.97,91,100,0.54,light rain
359,Zhanaozen,KZ,43.3,52.8,81.59,26,0,8.72,clear sky
360,Pochutla,MX,15.74,-96.47,93.2,52,40,9.17,scattered clouds
361,Broken Hill,AU,-31.95,141.43,53.6,37,100,8.05,overcast clouds
362,Susanville,US,40.42,-120.65,88.0,11,1,4.7,clear sky
363,Ketchikan,US,55.34,-131.65,59.0,100,90,13.87,overcast clouds
